idx,timestamp,open,high,low,close,target
0,,7635.6,7642.6,7607.25,7607.95,-1.0
1,,7608.05,7608.45,7556.85,7561.3,-1.0
3,,7492.95,7566.2,7492.95,7555.25,-1.0
4,,7548.9,7559.0,7431.65,7431.65,-1.0
5,,7431.6,7443.65,7392.75,7434.95,-1.0
6,,7435.25,7456.8,7414.25,7425.75,-1.0
7,,7425.35,7430.0,7401.1,7404.4,-1.0
8,,7403.35,7403.35,7362.75,7367.65,-1.0
9,,7368.4,7375.4,7354.2,7373.35,-1.0
10,,7373.5,7373.5,7348.2,7366.45,-1.0
11,,7365.25,7377.85,7346.25,7357.25,-1.0
12,,7357.2,7365.05,7349.65,7357.7,-1.0
